Timestamp,Source IP,Destination IP,MSE,Prediction,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Packet Length Mean,Bwd Packet Length Mean,Destination Port
2025-07-12 17:19:07,2404:6800:4007:830::200a,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,0.0016787063,BENIGN ✅,771,11,0,1682,0,77.1,110.32724051656507,283,0,771,77.1,110.32724051656507,283,0,0,0.0,0.0,0,0,152.9090909090909,0.0,55249
2025-07-12 17:19:07,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,2404:6800:4007:830::200a,0.0013695173,BENIGN ✅,766,11,0,3251,0,76.60000000000001,112.27961128856437,289,0,766,76.60000000000001,112.27961128856437,289,0,0,0.0,0.0,0,0,295.54545454545456,0.0,443
2025-07-12 17:19:12,fe80::6496:61ff:fe8c:aea,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,0.0001185279,BENIGN ✅,0,1,1,86,78,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,86.0,78.0,0
2025-07-12 17:19:16,2404:6800:4007:830::200a,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,0.0004956666,BENIGN ✅,80,2,0,177,0,80.0,0.0,80,80,80,80.0,0.0,80,80,0,0.0,0.0,0,0,88.5,0.0,55249
2025-07-12 17:19:16,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,2404:6800:4007:830::200a,0.00065490283,BENIGN ✅,151,2,0,182,0,151.0,0.0,151,151,151,151.0,0.0,151,151,0,0.0,0.0,0,0,91.0,0.0,443
2025-07-12 17:19:17,10.144.214.190,10.144.214.29,0.001291499,BENIGN ✅,0,1,0,127,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,127.0,0.0,0
2025-07-12 17:19:19,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,2001:4860:4802:38::180,0.0029843943,ATTACK 🚨,161,12,0,8932,0,14.636363636363637,32.527750390313585,103,0,161,14.636363636363637,32.527750390313585,103,0,0,0.0,0.0,0,0,744.3333333333333,0.0,443
2025-07-12 17:19:19,2001:4860:4802:38::180,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,0.0019045741,BENIGN ✅,94,12,0,6016,0,8.545454545454545,18.98611933157293,57,0,94,8.545454545454545,18.98611933157293,57,0,0,0.0,0.0,0,0,501.3333333333333,0.0,48017
2025-07-12 17:19:22,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,2404:6800:4007:830::200a,0.0013470224,BENIGN ✅,368,4,0,634,0,122.66666666666667,143.94906506585352,282,2,368,122.66666666666667,143.94906506585352,282,2,0,0.0,0.0,0,0,158.5,0.0,443
2025-07-12 17:19:22,2404:6800:4007:830::200a,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,0.00078326004,BENIGN ✅,450,7,0,838,0,75.0,106.455624557841,282,0,450,75.0,106.455624557841,282,0,0,0.0,0.0,0,0,119.71428571428571,0.0,55249
2025-07-12 17:19:30,fe80::6496:61ff:fe8c:aea,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,0.0001185279,BENIGN ✅,0,1,1,86,78,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,86.0,78.0,0
2025-07-12 17:19:31,fe80::4d2c:3020:cacc:fdb,fe80::6496:61ff:fe8c:aea,0.00011852654,BENIGN ✅,2,1,1,86,78,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,86.0,78.0,0
2025-07-12 17:19:32,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,2404:6800:4007:830::200a,0.0007409887,BENIGN ✅,0,1,0,95,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,95.0,0.0,443
2025-07-12 17:19:32,2404:6800:4007:830::200a,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,0.00067063444,BENIGN ✅,0,1,0,108,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,108.0,0.0,55249
2025-07-12 17:19:35,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,2404:6800:4003:c0f::bc,0.0006033974,BENIGN ✅,95,1,1,86,86,95.0,0.0,95,95,0,0.0,0.0,0,0,0,0.0,0.0,0,0,86.0,86.0,5228
2025-07-12 17:19:35,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,2405:200:1630:1400::b854:b052,8.9060915e-05,BENIGN ✅,318,1,1,86,86,318.0,0.0,318,318,0,0.0,0.0,0,0,0,0.0,0.0,0,0,86.0,86.0,443
2025-07-12 17:19:35,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,2405:200:1630:1400::b854:b043,8.9060915e-05,BENIGN ✅,318,1,1,86,86,318.0,0.0,318,318,0,0.0,0.0,0,0,0,0.0,0.0,0,0,86.0,86.0,443
2025-07-12 17:19:38,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,2404:6800:4007:830::200a,0.0007409887,BENIGN ✅,0,1,0,95,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,95.0,0.0,443
2025-07-12 17:19:38,2404:6800:4007:830::200a,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,0.0026174511,ATTACK 🚨,0,1,0,204,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,204.0,0.0,55249
2025-07-12 17:19:48,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,2404:6800:4003:c04::9b,8.915402e-05,BENIGN ✅,149,1,1,86,86,149.0,0.0,149,149,0,0.0,0.0,0,0,0,0.0,0.0,0,0,86.0,86.0,443
2025-07-12 17:19:48,10.144.214.190,35.244.233.98,6.121534e-05,BENIGN ✅,149,1,1,66,66,149.0,0.0,149,149,0,0.0,0.0,0,0,0,0.0,0.0,0,0,66.0,66.0,443
2025-07-12 17:19:48,2001:4860:4802:38::180,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,0.004217661,ATTACK 🚨,77,4,0,1427,0,25.666666666666668,44.45597072760118,77,0,77,25.666666666666668,44.45597072760118,77,0,0,0.0,0.0,0,0,356.75,0.0,48017
2025-07-12 17:19:48,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,2404:6800:4007:830::200a,0.0007409887,BENIGN ✅,0,1,0,95,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,95.0,0.0,443
2025-07-12 17:19:48,2404:6800:4007:830::200a,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,0.00086267997,BENIGN ✅,0,1,0,124,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,124.0,0.0,55249
2025-07-12 17:19:48,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,2001:4860:4802:38::180,0.00075722876,BENIGN ✅,1,2,0,192,0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,96.0,0.0,443
2025-07-12 17:19:49,10.144.214.190,35.244.233.98,0.004876265,ATTACK 🚨,821,22,21,10318,17344,19.54761904761905,50.2235016316467,249,0,821,39.09523809523809,71.97492949764158,260,0,575,28.75,55.96415676221043,249,0,468.99999999999994,825.9047619047622,443
2025-07-12 17:19:49,2001:4860:4802:38::178,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,0.0062595713,ATTACK 🚨,239,12,0,5289,0,21.727272727272727,33.17255163261008,91,0,239,21.727272727272727,33.17255163261008,91,0,0,0.0,0.0,0,0,440.75,0.0,57795
2025-07-12 17:19:49,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,2001:4860:4802:38::178,0.0025939904,BENIGN ✅,207,9,0,5623,0,25.875,37.199990399384326,93,0,207,25.875,37.199990399384326,93,0,0,0.0,0.0,0,0,624.7777777777778,0.0,443
2025-07-12 17:19:50,10.144.214.190,35.244.233.98,0.00073482265,BENIGN ✅,967,20,19,5703,9294,25.447368421052637,40.1683601239805,200,0,967,50.89473684210527,59.498734568095465,200,0,867,48.166666666666664,72.67190572946978,262,0,285.15,489.1578947368421,443
2025-07-12 17:19:51,35.244.233.98,10.144.214.190,0.0076101124,ATTACK 🚨,977,31,23,11707,3353,18.43396226415095,33.79548754241189,200,0,977,32.56666666666666,51.72652446601582,200,0,922,41.90909090909091,55.77754206788068,229,0,377.6451612903226,145.7826086956522,42448
2025-07-12 17:19:52,2001:4860:4802:38::180,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,0.0038377757,ATTACK 🚨,425,6,0,2209,0,85.0,109.97954355242615,276,0,425,85.0,109.97954355242615,276,0,0,0.0,0.0,0,0,368.1666666666667,0.0,48017
2025-07-12 17:19:52,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,2001:4860:4802:38::180,0.002243862,BENIGN ✅,435,5,0,2222,0,108.75,96.0429591380857,247,25,435,108.75,96.0429591380857,247,25,0,0.0,0.0,0,0,444.4,0.0,443
2025-07-12 17:19:52,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,2409:4073:86:ff5a::9b,0.001622389,BENIGN ✅,224,2,0,519,0,224.0,0.0,224,224,224,224.0,0.0,224,224,0,0.0,0.0,0,0,259.5,0.0,0
2025-07-12 17:19:52,35.244.233.98,10.144.214.190,0.003699472,ATTACK 🚨,986,29,25,23209,2651,18.60377358490566,50.47632332346962,260,0,986,35.21428571428571,75.84260365454583,265,0,929,38.70833333333334,73.32386714265434,261,0,800.3103448275862,106.04,42448
